external_id,species,breed,age,peril,invoice_total,gt_disposition,gt_payout
SYN-0105,cat,Ragdoll,12,illness,1445,APPROVE,956.0
SYN-0106,cat,Siamese,9,cosmetic,235,DENY,0.0
SYN-0107,dog,Boxer,3,unknown,1280,RETURNED,0.0
SYN-0108,cat,Ragdoll,2,accident,880,APPROVE,504.0
SYN-0109,dog,Husky,11,wellness,105,DENY,0.0
SYN-0110,dog,Husky,6,illness,1420,DENY,0.0
SYN-0111,cat,Persian,9,illness,3600,PARTIAL,2648.0
SYN-0112,dog,Husky,2,illness,1290,DENY,0.0
SYN-0113,dog,Boxer,11,accident,810,PARTIAL,416.0
SYN-0114,cat,Ragdoll,11,accident,1850,APPROVE,1280.0
SYN-0115,cat,Persian,4,illness,1325,APPROVE,860.0
SYN-0116,cat,Maine Coon,3,accident,1260,APPROVE,808.0
SYN-0117,cat,Siamese,8,accident,1765,APPROVE,1212.0
SYN-0118,cat,Ragdoll,1,cosmetic,195,DENY,0.0
SYN-0119,cat,Ragdoll,5,accident,1110,APPROVE,688.0
SYN-0120,cat,Maine Coon,4,illness,1840,DENY,0.0
SYN-0121,cat,Maine Coon,7,wellness,105,DENY,0.0
SYN-0122,cat,Siamese,11,accident,1425,APPROVE,940.0
SYN-0123,dog,Boxer,8,accident,668,PARTIAL,312.0
SYN-0124,cat,Ragdoll,10,wellness,105,DENY,0.0
SYN-0125,cat,Maine Coon,8,wellness,105,DENY,0.0
SYN-0126,cat,Ragdoll,5,accident,3585,APPROVE,2668.0
SYN-0127,cat,Siamese,3,accident,1035,APPROVE,628.0
SYN-0128,dog,Labrador,10,orthopedic,1740,DENY,0.0
SYN-0129,dog,Poodle,11,wellness,105,APPROVE,0.0
SYN-0130,dog,Beagle,7,unknown,105,RETURNED,0.0
SYN-0131,dog,Bulldog,5,illness,1180,DENY,0.0
SYN-0132,cat,Siamese,10,orthopedic,1923,DENY,0.0
SYN-0133,cat,Maine Coon,8,orthopedic,943,PARTIAL,540.0
SYN-0134,cat,Domestic Shorthair,11,wellness,105,DENY,0.0
SYN-0135,cat,Ragdoll,11,unknown,323,RETURNED,0.0
SYN-0136,dog,Boxer,9,accident,3570,APPROVE,2656.0
SYN-0137,cat,Ragdoll,1,unknown,3680,RETURNED,0.0
SYN-0138,dog,Poodle,1,accident,1840,APPROVE,1272.0
SYN-0139,cat,Domestic Shorthair,3,wellness,105,DENY,0.0
SYN-0140,cat,Maine Coon,4,unknown,810,RETURNED,0.0
SYN-0141,dog,Beagle,12,accident,3460,APPROVE,2568.0
SYN-0142,dog,Bulldog,3,wellness,105,DENY,0.0
SYN-0143,cat,Domestic Shorthair,6,wellness,105,DENY,0.0
SYN-0144,dog,Husky,4,accident,1148,PARTIAL,696.0
SYN-0145,cat,Domestic Shorthair,9,orthopedic,3420,APPROVE,2536.0
SYN-0146,dog,Beagle,4,wellness,105,DENY,0.0
SYN-0147,cat,Persian,8,unknown,1010,RETURNED,0.0
SYN-0148,dog,Labrador,5,illness,980,APPROVE,584.0
SYN-0149,cat,Persian,8,unknown,3670,RETURNED,0.0
SYN-0150,dog,Husky,1,illness,815,DENY,0.0
